x,y,z_i,q_i,on_hull
17.5388,30.4014,7,-1,0
14.9509,9.89851,6,0,0
4.17717,32.5622,7,-3,1
9.23526,25.2852,6,0,0
20.6208,19.6032,6,0,0
23.3204,11.2455,5,1,0
17.471,12.3787,6,0,0
13.3725,36.5469,6,0,0
1.58722,23.622,4,2,0
37.4669,18.6406,4,2,0
23.1743,33.2732,6,0,0
10.7629,21.2466,6,0,0
21.3956,4.5028,6,0,0
30.6029,33.742,6,0,0
1.63735,21.1825,4,2,0
12.3071,18.383,6,0,0
36.546,20.5314,6,0,0
23.0115,17.9758,6,0,0
13.8693,26.2623,6,0,0
17.214,22.9603,7,-1,0
7.41204,21.7594,6,0,0
10.4089,36.734,6,0,0
36.6416,25.2847,7,-1,0
16.9072,13.8446,6,0,0
22.2834,41.4365,4,2,0
21.3081,24.9504,6,0,0
31.922,17.0304,6,0,0
15.144,23.4934,6,0,0
17.859,38.0699,6,0,0
12.4548,11.5175,6,0,0
11.3126,29.3093,5,1,0
16.0562,15.2391,6,0,0
35.0239,23.9095,6,0,0
9.00637,30.9136,6,0,0
26.3946,23.1302,6,0,0
17.3698,32.0072,6,0,0
31.9699,22.611,6,0,0
36.9011,16.2738,4,2,0
23.6504,16.6313,6,0,0
38.5359,22.3017,5,1,0
18.0774,36.5212,6,0,0
4.78242,15.8,7,-1,0
22.4582,19.3317,6,0,0
24.7221,5.53726,4,2,0
30.2361,7.86374,4,2,0
16.9454,35.1013,6,0,0
29.2937,32.5022,6,0,0
11.1677,6.75046,5,1,0
30.4892,25.0468,6,0,0
11.2502,17.2273,6,0,0
4.75568,12.2268,5,-1,1
32.6029,8.93898,5,-1,1
19.7227,18.17,6,0,0
20.2536,21.4604,7,-1,0
3.72879,27.5891,6,0,0
5.47913,14.3002,7,-1,0
18.1319,18.2283,6,0,0
4.9228,20.2894,6,0,0
28.783,27.6132,6,0,0
9.52725,11.6849,7,-1,0
33.7019,13.0847,7,-1,0
22.642,25.8518,6,0,0
30.7822,14.1645,6,0,0
25.54,13.7278,6,0,0
7.22658,14.3638,6,0,0
21.1576,36.7395,6,0,0
23.4127,40.937,4,2,0
4.72082,23.1617,6,0,0
