21.6816 20.7213
3.71803 18.9454
6.75925 33.4602
37.0017 14.9398
8.72791 18.7481
18.5148 28.9285
19.4941 6.20055
6.02893 32.1327
9.1814 33.9429
20.6327 7.70575
33.2814 32.8625
8.42211 10.5298
29.44 22.1782
28.0188 6.76314
26.4349 12.4731
1.82874 27.336
8.09125 32.4397
7.10741 9.44432
29.0939 24.0375
10.9356 10.8714
19.9201 41.2822
19.7132 36.2876
6.45177 12.9097
25.6494 8.94249
6.33961 35.3006
31.0265 30.1853
22.6544 4.37716
27.9999 15.2704
29.1592 7.33617
7.59397 11.8341
12.3379 23.8819
9.87194 9.72613
20.8849 12.1253
8.19866 36.7353
19.3841 30.053
23.7992 13.5222
27.5438 11.4488
20.127 16.4832
8.20261 20.3778
9.14149 21.9004
5.86501 17.2934
17.0834 21.3966
29.3733 34.7304
24.7175 26.2388
34.7052 27.1456
24.7741 21.1563
7.14722 18.6328
14.9676 39.2569
18.4755 33.331
21.6719 10.8238
18.9648 23.0243
6.20707 23.4614
25.0126 38.9033
36.6737 23.772
25.0379 32.5003
22.6299 6.54787
13.9293 33.3665
27.1522 30.1391
14.0982 31.5593
28.706 29.2685
36.6559 22.1774
26.4056 14.9992
11.0404 14.431
37.5783 28.3495
6.71477 10.7315
21.2072 35.0631
8.83938 37.7079
6.87104 36.457
9.76876 20.0487
26.9584 36.6342
33.4527 23.2033
19.1071 4.76229
21.2373 17.9114
14.03 40.2548
26.5499 38.2727
17.7968 15.2554
20.258 13.6381
34.1488 17.2943
32.9992 18.2256
10.4209 22.8486
25.6819 40.1035
33.647 19.7695
16.4597 36.6005
7.57707 17.147
29.6733 17.1085
29.0592 39.0105
33.4678 30.0085
22.6644 36.4255
3.92947 31.4058
15.4087 8.22143
6.13555 29.66
2.78707 15.2587
24.5837 15.0571
22.4583 28.5775
22.593 30.4366
9.88563 38.3313
15.828 20.295
26.8569 39.9846
13.2786 14.9546
21.0569 41.8149
7.77958 23.1975
25.426 24.3701
3.15659 20.524
5.10775 26.4422
32.2019 13.2797
18.1609 24.3787
21.2561 15.206
14.612 5.61761
26.2247 33.7804
23.6904 31.662
31.2142 10.6659
28.7793 25.5082
12.5367 13.6171
9.36461 8.38926
1.92933 19.8854
21.7213 39.7085
9.21563 23.7031
30.7969 18.1491
28.534 10.0522
18.4714 16.6221
23.1771 21.1097
14.9993 36.0299
31.5211 8.1984
15.2618 25.3645
11.9658 22.4139
13.2859 38.3312
34.7486 33.383
15.4787 17.4282
3.04622 24.272
8.31376 15.825
29.9736 38.2092
22.7646 34.8246
5.46689 18.8512
30.5765 20.0046
30.855 37.3287
34.7738 11.8958
19.7943 24.7425
35.079 25.4608
19.3601 37.9076
23.9328 37.5705
27.1558 5.88255
13.9692 17.8347
28.2749 37.6596
4.14855 13.3247
27.7899 18.4124
34.8513 18.8625
26.6396 16.6035
24.076 8.39543
27.5881 26.6806
27.3404 24.6684
3.89026 14.5303
13.7365 12.6781
27.0678 8.02877
18.5375 35.009
32.5279 35.9807
10.871 33.5383
24.4568 10.107
22.4079 23.959
17.7251 6.40739
19.4762 15.0762
18.7853 7.59222
12.3784 27.2444
14.7612 15.94
25.8181 19.7832
16.5016 11.0727
13.3823 19.5732
30.6851 12.4889
20.1741 4.99141
33.483 35.2477
21.1332 6.2288
13.8028 24.5655
15.7836 29.9735
22.9805 15.0938
3.28654 30.5268
15.6539 12.9417
19.6333 9.00192
5.02317 33.4271
24.2622 35.802
6.65204 20.1497
24.0867 19.7173
21.176 9.36964
8.5257 28.1786
22.4814 38.1748
5.58141 11.2434
29.4931 15.3939
15.6133 22.1465
17.0366 28.7765
16.9596 26.0087
13.1524 16.582
21.805 22.3383
10.8358 26.0318
15.7601 31.3997
36.8485 29.3603
29.272 13.7838
19.966 39.6534
7.1431 31.0896
11.8898 37.5085
24.144 6.78019
5.08667 30.8276
17.5388 30.4014
14.9509 9.89851
4.17717 32.5622
9.23526 25.2852
20.6208 19.6032
23.3204 11.2455
17.471 12.3787
13.3725 36.5469
1.58722 23.622
37.4669 18.6406
23.1743 33.2732
10.7629 21.2466
21.3956 4.5028
30.6029 33.742
1.63735 21.1825
12.3071 18.383
36.546 20.5314
23.0115 17.9758
13.8693 26.2623
17.214 22.9603
7.41204 21.7594
10.4089 36.734
36.6416 25.2847
16.9072 13.8446
22.2834 41.4365
21.3081 24.9504
31.922 17.0304
15.144 23.4934
17.859 38.0699
12.4548 11.5175
11.3126 29.3093
16.0562 15.2391
35.0239 23.9095
9.00637 30.9136
26.3946 23.1302
17.3698 32.0072
31.9699 22.611
36.9011 16.2738
23.6504 16.6313
38.5359 22.3017
18.0774 36.5212
4.78242 15.8
22.4582 19.3317
24.7221 5.53726
30.2361 7.86374
16.9454 35.1013
29.2937 32.5022
11.1677 6.75046
30.4892 25.0468
11.2502 17.2273
4.75568 12.2268
32.6029 8.93898
19.7227 18.17
20.2536 21.4604
3.72879 27.5891
5.47913 14.3002
18.1319 18.2283
4.9228 20.2894
28.783 27.6132
9.52725 11.6849
33.7019 13.0847
22.642 25.8518
30.7822 14.1645
25.54 13.7278
7.22658 14.3638
21.1576 36.7395
23.4127 40.937
4.72082 23.1617
11.3423 12.5567
16.847 33.5335
13.6581 22.8283
23.371 22.8301
31.8208 36.8457
11.7796 15.787
20.4038 28.4307
12.5652 7.79162
25.227 16.5702
20.0689 32.5859
2.83975 16.5052
30.7129 31.7925
36.2689 26.9106
5.91202 21.7711
31.8118 32.7522
32.664 27.6833
29.2637 18.8989
28.7634 12.395
32.2685 20.8536
34.1477 14.5312
21.9526 16.5733
34.9989 20.6826
28.1331 31.3712
18.7457 41.1061
20.8487 38.212
21.2421 29.6135
16.5378 9.49617
12.7904 28.8821
10.8698 38.9891
35.0847 15.7781
31.135 27.5866
10.1134 16.0144
17.5122 27.3596
37.4862 27.1044
23.6705 5.11708
28.5219 8.44991
18.608 13.6542
19.8674 10.5397
17.911 4.42643
34.0422 28.5285
20.366 26.3485
6.13373 25.0511
18.9039 31.5719
30.546 23.3704
24.8196 22.7771
37.5043 17.4027
2.02458 18.6797
15.5553 26.892
11.0075 8.65628
12.1618 9.64787
25.6992 29.1004
35.9521 31.4649
1.2512 24.9771
27.4447 19.911
12.6627 32.219
6.47541 15.7332
8.19474 8.77264
14.0499 27.9681
35.7122 17.2861
12.3144 34.0179
23.5308 39.465
9.63779 29.2653
22.2869 8.09352
11.9882 39.1777
24.4983 28.0713
29.8868 26.6026
